[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.000488635 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.8109e+14, L₂ = 8.53185e+14 (over 4096 cells)
Gravity is DISABLED, G: 6.67e-08
CFL=0.5, sound_crossings=409.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 1.0947e+14
HDF5 file written to: agoge_init.h5
Step=486, time=4.05903e+12/1.0947e+14, dt=8.35191e+09
Step=488, time=4.07573e+12/1.0947e+14, dt=8.35191e+09
Step=490, time=4.09244e+12/1.0947e+14, dt=8.35191e+09
Step=492, time=4.10914e+12/1.0947e+14, dt=8.35191e+09
Step=494, time=4.12585e+12/1.0947e+14, dt=8.35191e+09
Step=496, time=4.14255e+12/1.0947e+14, dt=8.35191e+09
Step=498, time=4.15925e+12/1.0947e+14, dt=8.35191e+09
Step=500, time=4.17596e+12/1.0947e+14, dt=8.35191e+09
Step=502, time=4.19266e+12/1.0947e+14, dt=8.35191e+09
Step=504, time=4.20936e+12/1.0947e+14, dt=8.35191e+09
Step=506, time=4.22607e+12/1.0947e+14, dt=8.35191e+09
Step=508, time=4.24277e+12/1.0947e+14, dt=8.35191e+09
Step=510, time=4.25948e+12/1.0947e+14, dt=8.35191e+09
Step=512, time=4.27618e+12/1.0947e+14, dt=8.35191e+09
Step=514, time=4.29288e+12/1.0947e+14, dt=8.35191e+09
Step=516, time=4.30959e+12/1.0947e+14, dt=8.35191e+09
Step=518, time=4.32629e+12/1.0947e+14, dt=8.35191e+09
Step=520, time=4.343e+12/1.0947e+14, dt=8.35191e+09
Step=522, time=4.3597e+12/1.0947e+14, dt=8.35191e+09
Step=524, time=4.3764e+12/1.0947e+14, dt=8.35191e+09
Step=526, time=4.39311e+12/1.0947e+14, dt=8.35191e+09
Step=528, time=4.40981e+12/1.0947e+14, dt=8.35191e+09
Step=530, time=4.42651e+12/1.0947e+14, dt=8.35191e+09
Step=532, time=4.44322e+12/1.0947e+14, dt=8.35191e+09
Step=534, time=4.45992e+12/1.0947e+14, dt=8.35191e+09
Step=536, time=4.47663e+12/1.0947e+14, dt=8.35191e+09
Step=538, time=4.49333e+12/1.0947e+14, dt=8.35191e+09
Step=540, time=4.51003e+12/1.0947e+14, dt=8.35191e+09
Step=542, time=4.52674e+12/1.0947e+14, dt=8.35191e+09
Step=544, time=4.54344e+12/1.0947e+14, dt=8.35191e+09
Step=546, time=4.56014e+12/1.0947e+14, dt=8.35191e+09
Step=548, time=4.57685e+12/1.0947e+14, dt=8.35191e+09
Step=550, time=4.59355e+12/1.0947e+14, dt=8.35191e+09
Step=552, time=4.61026e+12/1.0947e+14, dt=8.35191e+09
Step=554, time=4.62696e+12/1.0947e+14, dt=8.35191e+09
Step=556, time=4.64366e+12/1.0947e+14, dt=8.35191e+09
Step=558, time=4.66037e+12/1.0947e+14, dt=8.35191e+09
Step=560, time=4.67707e+12/1.0947e+14, dt=8.35191e+09
Step=562, time=4.69378e+12/1.0947e+14, dt=8.35191e+09
Step=564, time=4.71048e+12/1.0947e+14, dt=8.35191e+09
Step=566, time=4.72718e+12/1.0947e+14, dt=8.35191e+09
Step=568, time=4.74389e+12/1.0947e+14, dt=8.35191e+09
Step=570, time=4.76059e+12/1.0947e+14, dt=8.35191e+09
Step=572, time=4.77729e+12/1.0947e+14, dt=8.35191e+09
Step=574, time=4.794e+12/1.0947e+14, dt=8.35191e+09
Step=576, time=4.8107e+12/1.0947e+14, dt=8.35191e+09
Step=578, time=4.82741e+12/1.0947e+14, dt=8.35191e+09
Step=580, time=4.84411e+12/1.0947e+14, dt=8.35191e+09
Step=582, time=4.86081e+12/1.0947e+14, dt=8.35191e+09
Step=584, time=4.87752e+12/1.0947e+14, dt=8.35191e+09
Step=586, time=4.89422e+12/1.0947e+14, dt=8.35191e+09
Step=588, time=4.91093e+12/1.0947e+14, dt=8.35191e+09
Step=590, time=4.92763e+12/1.0947e+14, dt=8.35191e+09
Step=592, time=4.94433e+12/1.0947e+14, dt=8.35191e+09
Step=594, time=4.96104e+12/1.0947e+14, dt=8.35191e+09
Step=596, time=4.97774e+12/1.0947e+14, dt=8.35191e+09
Step=598, time=4.99444e+12/1.0947e+14, dt=8.35191e+09
Step=600, time=5.01115e+12/1.0947e+14, dt=8.35191e+09
Step=602, time=5.02785e+12/1.0947e+14, dt=8.35191e+09
Step=604, time=5.04456e+12/1.0947e+14, dt=8.35191e+09
Step=606, time=5.06126e+12/1.0947e+14, dt=8.35191e+09
Step=608, time=5.07796e+12/1.0947e+14, dt=8.35191e+09
Step=610, time=5.09467e+12/1.0947e+14, dt=8.35191e+09
Step=612, time=5.11137e+12/1.0947e+14, dt=8.35191e+09
Step=614, time=5.12808e+12/1.0947e+14, dt=8.35191e+09
Step=616, time=5.14478e+12/1.0947e+14, dt=8.35191e+09
Step=618, time=5.16148e+12/1.0947e+14, dt=8.35191e+09
Step=620, time=5.17819e+12/1.0947e+14, dt=8.35191e+09
Step=622, time=5.19489e+12/1.0947e+14, dt=8.35191e+09
Step=624, time=5.21159e+12/1.0947e+14, dt=8.35191e+09
Step=626, time=5.2283e+12/1.0947e+14, dt=8.35191e+09
Step=628, time=5.245e+12/1.0947e+14, dt=8.35191e+09
Step=630, time=5.26171e+12/1.0947e+14, dt=8.35191e+09
Step=632, time=5.27841e+12/1.0947e+14, dt=8.35191e+09
Step=634, time=5.29511e+12/1.0947e+14, dt=8.35191e+09
