[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.00411742 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.80964e+14, L₂ = 8.53107e+14 (over 32768 cells)
Gravity is ENABLED, G: 6.67e-08
CFL=0.5, sound_crossings=25.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 6.84189e+12
HDF5 file written to: agoge_init.h5
Step=324, time=1.35301e+12/6.84189e+12, dt=4.17596e+09
Step=326, time=1.36136e+12/6.84189e+12, dt=4.17596e+09
Step=328, time=1.36971e+12/6.84189e+12, dt=4.17596e+09
Step=330, time=1.37807e+12/6.84189e+12, dt=4.17596e+09
Step=332, time=1.38642e+12/6.84189e+12, dt=4.17596e+09
Step=334, time=1.39477e+12/6.84189e+12, dt=4.17596e+09
Step=336, time=1.40312e+12/6.84189e+12, dt=4.17596e+09
Step=338, time=1.41147e+12/6.84189e+12, dt=4.17596e+09
Step=340, time=1.41983e+12/6.84189e+12, dt=4.17596e+09
Step=342, time=1.42818e+12/6.84189e+12, dt=4.17596e+09
Step=344, time=1.43653e+12/6.84189e+12, dt=4.17596e+09
Step=346, time=1.44488e+12/6.84189e+12, dt=4.17596e+09
Step=348, time=1.45323e+12/6.84189e+12, dt=4.17596e+09
Step=350, time=1.46158e+12/6.84189e+12, dt=4.17596e+09
Step=352, time=1.46994e+12/6.84189e+12, dt=4.17596e+09
Step=354, time=1.47829e+12/6.84189e+12, dt=4.17596e+09
Step=356, time=1.48664e+12/6.84189e+12, dt=4.17596e+09
Step=358, time=1.49499e+12/6.84189e+12, dt=4.17596e+09
Step=360, time=1.50334e+12/6.84189e+12, dt=4.17596e+09
Step=362, time=1.5117e+12/6.84189e+12, dt=4.17596e+09
Step=364, time=1.52005e+12/6.84189e+12, dt=4.17596e+09
Step=366, time=1.5284e+12/6.84189e+12, dt=4.17596e+09
Step=368, time=1.53675e+12/6.84189e+12, dt=4.17596e+09
Step=370, time=1.5451e+12/6.84189e+12, dt=4.17596e+09
Step=372, time=1.55346e+12/6.84189e+12, dt=4.17596e+09
Step=374, time=1.56181e+12/6.84189e+12, dt=4.17596e+09
Step=376, time=1.57016e+12/6.84189e+12, dt=4.17596e+09
Step=378, time=1.57851e+12/6.84189e+12, dt=4.17596e+09
Step=380, time=1.58686e+12/6.84189e+12, dt=4.17596e+09
Step=382, time=1.59522e+12/6.84189e+12, dt=4.17596e+09
Step=384, time=1.60357e+12/6.84189e+12, dt=4.17596e+09
Step=386, time=1.61192e+12/6.84189e+12, dt=4.17596e+09
Step=388, time=1.62027e+12/6.84189e+12, dt=4.17596e+09
Step=390, time=1.62862e+12/6.84189e+12, dt=4.17596e+09
Step=392, time=1.63698e+12/6.84189e+12, dt=4.17596e+09
Step=394, time=1.64533e+12/6.84189e+12, dt=4.17596e+09
Step=396, time=1.65368e+12/6.84189e+12, dt=4.17596e+09
Step=398, time=1.66203e+12/6.84189e+12, dt=4.17596e+09
Step=400, time=1.67038e+12/6.84189e+12, dt=4.17596e+09
Step=402, time=1.67873e+12/6.84189e+12, dt=4.17596e+09
Step=404, time=1.68709e+12/6.84189e+12, dt=4.17596e+09
Step=406, time=1.69544e+12/6.84189e+12, dt=4.17596e+09
Step=408, time=1.70379e+12/6.84189e+12, dt=4.17596e+09
Step=410, time=1.71214e+12/6.84189e+12, dt=4.17596e+09
Step=412, time=1.72049e+12/6.84189e+12, dt=4.17596e+09
Step=414, time=1.72885e+12/6.84189e+12, dt=4.17596e+09
Step=416, time=1.7372e+12/6.84189e+12, dt=4.17596e+09
Step=418, time=1.74555e+12/6.84189e+12, dt=4.17596e+09
Step=420, time=1.7539e+12/6.84189e+12, dt=4.17596e+09
Step=422, time=1.76225e+12/6.84189e+12, dt=4.17596e+09
Step=424, time=1.77061e+12/6.84189e+12, dt=4.17596e+09
Step=426, time=1.77896e+12/6.84189e+12, dt=4.17596e+09
Step=428, time=1.78731e+12/6.84189e+12, dt=4.17596e+09
Step=430, time=1.79566e+12/6.84189e+12, dt=4.17596e+09
Step=432, time=1.80401e+12/6.84189e+12, dt=4.17596e+09
Step=434, time=1.81237e+12/6.84189e+12, dt=4.17596e+09
Step=436, time=1.82072e+12/6.84189e+12, dt=4.17596e+09
Step=438, time=1.82907e+12/6.84189e+12, dt=4.17596e+09
Step=440, time=1.83742e+12/6.84189e+12, dt=4.17596e+09
Step=442, time=1.84577e+12/6.84189e+12, dt=4.17596e+09
Step=444, time=1.85412e+12/6.84189e+12, dt=4.17596e+09
Step=446, time=1.86248e+12/6.84189e+12, dt=4.17596e+09
Step=448, time=1.87083e+12/6.84189e+12, dt=4.17596e+09
Step=450, time=1.87918e+12/6.84189e+12, dt=4.17596e+09
Step=452, time=1.88753e+12/6.84189e+12, dt=4.17596e+09
Step=454, time=1.89588e+12/6.84189e+12, dt=4.17596e+09
Step=456, time=1.90424e+12/6.84189e+12, dt=4.17596e+09
Step=458, time=1.91259e+12/6.84189e+12, dt=4.17596e+09
Step=460, time=1.92094e+12/6.84189e+12, dt=4.17596e+09
Step=462, time=1.92929e+12/6.84189e+12, dt=4.17596e+09
Step=464, time=1.93764e+12/6.84189e+12, dt=4.17596e+09
Step=466, time=1.946e+12/6.84189e+12, dt=4.17596e+09
Step=468, time=1.95435e+12/6.84189e+12, dt=4.17596e+09
Step=470, time=1.9627e+12/6.84189e+12, dt=4.17596e+09
Step=472, time=1.97105e+12/6.84189e+12, dt=4.17596e+09
Step=474, time=1.9794e+12/6.84189e+12, dt=4.17596e+09
Step=476, time=1.98776e+12/6.84189e+12, dt=4.17596e+09
Step=478, time=1.99611e+12/6.84189e+12, dt=4.17596e+09
Step=480, time=2.00446e+12/6.84189e+12, dt=4.17596e+09
Step=482, time=2.01281e+12/6.84189e+12, dt=4.17596e+09
Step=484, time=2.02116e+12/6.84189e+12, dt=4.17596e+09
Step=486, time=2.02952e+12/6.84189e+12, dt=4.17596e+09
Step=488, time=2.03787e+12/6.84189e+12, dt=4.17596e+09
Step=490, time=2.04622e+12/6.84189e+12, dt=4.17596e+09
Step=492, time=2.05457e+12/6.84189e+12, dt=4.17596e+09
Step=494, time=2.06292e+12/6.84189e+12, dt=4.17596e+09
Step=496, time=2.07127e+12/6.84189e+12, dt=4.17596e+09
Step=498, time=2.07963e+12/6.84189e+12, dt=4.17596e+09
Step=500, time=2.08798e+12/6.84189e+12, dt=4.17596e+09
Step=502, time=2.09633e+12/6.84189e+12, dt=4.17596e+09
Step=504, time=2.10468e+12/6.84189e+12, dt=4.17596e+09
